frequency, value
0,-0.2051
86.13,-0.1992
172.3,0.2054
258.4,0.4313
344.5,-0.297
430.7,-0.1467
516.8,-0.1304
602.9,-0.3409
689.1,-0.5975
775.2,-0.6102
861.3,1.074
947.5,0.7511
1034,21.6
1120,15.96
1206,0.7664
1292,0.1863
1378,0.9962
1464,0.4988
1550,0.09683
1637,0.1161
1723,-3.141
1809,-2.649
1895,2.757
1981,-0.7504
2067,0.2488
2153,3.129
2239,-0.7785
2326,0.2134
2412,-2.696
2498,-1.032
2584,-0.2726
2670,0.4299
2756,-0.3372
2842,0.2857
2929,-0.4387
3015,0.1088
3101,1.966
3187,1.487
3273,-1.533
3359,-0.565
3445,-0.602
3531,-0.673
3618,-0.1064
3704,0.05954
3790,3.354
3876,1.773
3962,2.257e-05
4048,0.2333
4134,0.1497
4221,0.2322
4307,-0.07886
4393,-0.1853
4479,0.26
4565,0.3329
4651,-0.4365
4737,-0.2178
4823,-0.4436
4910,-0.0488
4996,-0.4022
5082,-0.09826
5168,-1.361
5254,-0.6079
5340,-0.08254
5426,-0.006224
5512,-0.234
5599,-0.002812
5685,-0.123
5771,0.2953
5857,1.555
5943,0.6264
6029,-0.735
6115,-0.3646
6202,0.03418
6288,-0.5615
6374,-0.009146
6460,0.6663
6546,-0.7839
6632,-0.5775
6718,0.1436
6804,-0.1911
6891,-0.4685
6977,-0.2414
7063,-0.965
7149,-0.1088
7235,-2.151
7321,-1.139
7407,1.024
7494,1.013
7580,0.5281
7666,-0.8843
7752,0.2046
7838,-0.9236
7924,-1.16
8010,-0.9976
8096,0.1402
8183,-0.6257
8269,-0.07336
8355,-0.5121
8441,-0.2844
8527,0.06481
8613,1.284
8699,0.4193
8786,-1.244
8872,-0.2454
8958,-0.04234
9044,-1.364
9130,0.4485
9216,2.083
9302,2.847
9388,1.61
9475,0.04178
9561,0.2243
9647,0.2001
9733,0.2324
9819,0.4045
9905,0.3311
9991,2.457
1.008e+04,1.01
1.016e+04,-0.9135
1.025e+04,-1.118
1.034e+04,-1.186
1.042e+04,0.08575
1.051e+04,-0.2886
1.059e+04,-0.1734
1.068e+04,-0.8655
1.077e+04,-0.429
1.085e+04,0.009351
1.094e+04,-0.1673
1.102e+04,-0.1134
1.111e+04,-0.1673
1.12e+04,-0.1397
1.128e+04,0.1049
1.137e+04,0.8364
1.146e+04,-0.03661
1.154e+04,-0.09631
1.163e+04,-0.2325
1.171e+04,0.3041
1.18e+04,-0.3374
1.189e+04,-0.03519
1.197e+04,0.4859
1.206e+04,-3.086
1.214e+04,-1.506
1.223e+04,0.3536
1.232e+04,-0.3717
1.24e+04,-0.3384
1.249e+04,-0.4457
1.258e+04,-0.9157
1.266e+04,0.1081
1.275e+04,-0.442
1.283e+04,-1.112
1.292e+04,2.275
1.301e+04,-1.216
1.309e+04,-1.944
1.318e+04,1.058
1.326e+04,0.1535
1.335e+04,-0.9063
1.344e+04,-0.9546
1.352e+04,-0.1252
1.361e+04,-0.07106
1.37e+04,-0.1898
1.378e+04,-0.3639
1.387e+04,-0.09481
1.395e+04,-0.337
1.404e+04,-0.1696
1.413e+04,0.3032
1.421e+04,0.2157
1.43e+04,-0.6446
1.438e+04,-0.3804
1.447e+04,-1.061
1.456e+04,-0.1079
1.464e+04,2.182
1.473e+04,-0.1356
1.481e+04,1.761
1.49e+04,0.6351
1.499e+04,0.3187
1.507e+04,-0.1326
1.516e+04,0.2672
1.525e+04,-0.1113
1.533e+04,0.01574
1.542e+04,-0.1924
1.55e+04,0.218
1.559e+04,-0.3145
1.568e+04,0.6109
1.576e+04,-0.2218
1.585e+04,-0.9678
1.593e+04,-0.3301
1.602e+04,-0.03014
1.611e+04,-0.3047
1.619e+04,-0.7339
1.628e+04,-0.7436
1.637e+04,0.1633
1.645e+04,-0.1532
1.654e+04,0.007175
1.662e+04,-0.3074
1.671e+04,-0.1446
1.68e+04,-0.4813
1.688e+04,0.8791
1.697e+04,0.4907
1.705e+04,-0.8289
1.714e+04,-0.3001
1.723e+04,0.6019
1.731e+04,0.5344
1.74e+04,-0.8761
1.748e+04,-0.6281
1.757e+04,-0.2847
1.766e+04,-0.7394
1.774e+04,-0.05961
1.783e+04,0.1286
1.792e+04,-0.4394
1.8e+04,-0.3404
1.809e+04,-0.8765
1.817e+04,-0.7203
1.826e+04,-1.255
1.835e+04,-1.295
1.843e+04,-0.2285
1.852e+04,-0.6696
1.86e+04,0.7999
1.869e+04,1.81
1.878e+04,-0.2851
1.886e+04,0.9308
1.895e+04,-0.1867
1.904e+04,-0.1718
1.912e+04,-0.2605
1.921e+04,0.7905
1.929e+04,-0.04153
1.938e+04,0.3857
1.947e+04,0.3462
1.955e+04,-0.9569
1.964e+04,-0.1631
1.972e+04,0.7153
1.981e+04,-1.499
1.99e+04,-1.863
1.998e+04,-2.89
2.007e+04,3.625
2.016e+04,8.796
2.024e+04,-4.256
2.033e+04,3.548
2.041e+04,0.4573
2.05e+04,1.032
2.059e+04,-1.281
2.067e+04,1.481
2.076e+04,-0.5869
2.084e+04,1.994
2.093e+04,0.4201
2.102e+04,2.966
2.11e+04,1.677
2.119e+04,-0.8238
2.127e+04,0.3017
2.136e+04,0.3581
2.145e+04,-2.005
2.153e+04,-0.1396
2.162e+04,0.2401
2.171e+04,-0.06774
2.179e+04,-0.7784
2.188e+04,0.5388
2.196e+04,-0.3615
