frequency, value
0,0
1.346,0.00783
2.692,0.01562
4.037,0.02335
5.383,0.03096
6.729,0.03843
8.075,0.04573
9.421,0.05281
10.77,0.05965
12.11,0.06622
13.46,0.07248
14.8,0.07841
16.15,0.08399
17.5,0.08918
18.84,0.09396
20.19,0.09832
21.53,0.1022
22.88,0.1057
24.22,0.1087
25.57,0.1111
26.92,0.1131
28.26,0.1146
29.61,0.1156
30.95,0.1161
32.3,0.1161
33.65,0.1155
34.99,0.1145
36.34,0.113
37.68,0.111
39.03,0.1085
40.37,0.1056
41.72,0.1023
43.07,0.09851
44.41,0.09438
45.76,0.08989
47.1,0.08506
48.45,0.07992
49.8,0.0745
51.14,0.06884
52.49,0.06296
53.83,0.05691
55.18,0.0507
56.52,0.04438
57.87,0.03798
59.22,0.03155
60.56,0.0251
61.91,0.01869
63.25,0.01235
64.6,0.006105
65.95,5.417e-09
67.29,-0.005933
68.64,-0.01166
69.98,-0.01715
71.33,-0.02237
72.67,-0.0273
74.02,-0.03189
75.37,-0.03613
76.71,-0.04
78.06,-0.04346
79.4,-0.0465
80.75,-0.0491
82.1,-0.05124
83.44,-0.05292
84.79,-0.0541
86.13,-0.0548
87.48,-0.055
88.82,-0.05469
90.17,-0.05388
91.52,-0.05256
92.86,-0.05075
94.21,-0.04844
95.55,-0.04564
96.9,-0.04237
98.25,-0.03864
99.59,-0.03446
100.9,-0.02985
102.3,-0.02484
103.6,-0.01944
105,-0.01369
106.3,-0.007593
107.7,-0.001194
109,0.005482
110.4,0.0124
111.7,0.01954
113,0.02686
114.4,0.03432
115.7,0.0419
117.1,0.04955
118.4,0.05724
119.8,0.06493
121.1,0.0726
122.5,0.0802
123.8,0.08769
125.2,0.09504
126.5,0.1022
127.9,0.1092
129.2,0.1159
130.5,0.1224
131.9,0.1286
133.2,0.1344
134.6,0.1399
135.9,0.145
137.3,0.1497
138.6,0.1539
140,0.1577
141.3,0.1611
142.7,0.164
144,0.1664
145.3,0.1683
