frequency, value
0,0
21.53,0.0007124
43.07,0.001425
64.6,0.002137
86.13,0.002849
107.7,0.003561
129.2,0.004273
150.7,0.004985
172.3,0.005696
193.8,0.006407
215.3,0.007118
236.9,0.007828
258.4,0.008538
279.9,0.009248
301.5,0.009957
323,0.01067
344.5,0.01137
366.1,0.01208
387.6,0.01279
409.1,0.01349
430.7,0.0142
452.2,0.0149
473.7,0.01561
495.3,0.01631
516.8,0.01701
538.3,0.01772
559.9,0.01842
581.4,0.01912
602.9,0.01981
624.5,0.02051
646,0.02121
667.5,0.0219
689.1,0.0226
710.6,0.02329
732.1,0.02398
753.7,0.02468
775.2,0.02537
796.7,0.02605
818.3,0.02674
839.8,0.02743
861.3,0.02811
882.9,0.02879
904.4,0.02948
925.9,0.03016
947.5,0.03083
969,0.03151
990.5,0.03219
1012,0.03286
1034,0.03353
1055,0.0342
1077,0.03487
1098,0.03554
1120,0.0362
1141,0.03687
1163,0.03753
1184,0.03819
1206,0.03884
1227,0.0395
1249,0.04015
1270,0.0408
1292,0.04145
1314,0.0421
1335,0.04275
1357,0.04339
1378,0.04403
1400,0.04467
1421,0.0453
1443,0.04594
1464,0.04657
1486,0.0472
1507,0.04783
1529,0.04845
1550,0.04907
1572,0.04969
1593,0.05031
1615,0.05092
1637,0.05153
1658,0.05214
1680,0.05275
1701,0.05335
1723,0.05396
1744,0.05455
1766,0.05515
1787,0.05574
1809,0.05633
1830,0.05692
1852,0.0575
1873,0.05808
1895,0.05866
1916,0.05924
1938,0.05981
1960,0.06038
1981,0.06095
2003,0.06151
2024,0.06207
2046,0.06263
2067,0.06318
2089,0.06373
2110,0.06428
2132,0.06482
2153,0.06536
2175,0.0659
2196,0.06644
2218,0.06697
2239,0.06749
2261,0.06802
2283,0.06854
2304,0.06905
2326,0.06957
2347,0.07008
2369,0.07058
2390,0.07109
2412,0.07159
2433,0.07208
2455,0.07257
2476,0.07306
2498,0.07355
2519,0.07403
2541,0.0745
2562,0.07498
2584,0.07545
2606,0.07591
2627,0.07638
2649,0.07683
2670,0.07729
2692,0.07774
2713,0.07818
2735,0.07863
2756,0.07906
2778,0.0795
2799,0.07993
2821,0.08035
2842,0.08078
2864,0.08119
2885,0.08161
2907,0.08202
2929,0.08242
2950,0.08282
2972,0.08322
2993,0.08361
3015,0.084
3036,0.08439
3058,0.08477
3079,0.08514
3101,0.08551
3122,0.08588
3144,0.08624
3165,0.0866
3187,0.08696
3208,0.08731
3230,0.08765
3252,0.08799
3273,0.08833
3295,0.08866
3316,0.08899
3338,0.08931
3359,0.08963
3381,0.08994
3402,0.09025
3424,0.09056
3445,0.09086
3467,0.09115
3488,0.09144
3510,0.09173
3531,0.09201
3553,0.09229
3575,0.09256
3596,0.09282
3618,0.09309
3639,0.09335
3661,0.0936
3682,0.09385
3704,0.09409
3725,0.09433
3747,0.09456
3768,0.09479
3790,0.09502
3811,0.09524
3833,0.09545
3854,0.09566
3876,0.09587
3898,0.09607
3919,0.09626
3941,0.09645
3962,0.09664
3984,0.09682
4005,0.097
4027,0.09717
4048,0.09733
4070,0.09749
4091,0.09765
4113,0.0978
4134,0.09795
4156,0.09809
4177,0.09822
4199,0.09835
4221,0.09848
4242,0.0986
4264,0.09872
4285,0.09883
4307,0.09894
4328,0.09904
4350,0.09913
4371,0.09922
4393,0.09931
4414,0.09939
4436,0.09947
4457,0.09954
4479,0.0996
4500,0.09966
4522,0.09972
4544,0.09977
4565,0.09982
4587,0.09986
4608,0.09989
4630,0.09992
4651,0.09995
4673,0.09997
4694,0.09998
4716,0.09999
4737,0.1
4759,0.1
4780,0.09999
4802,0.09998
4823,0.09997
4845,0.09995
4867,0.09992
4888,0.09989
4910,0.09986
4931,0.09982
4953,0.09977
4974,0.09972
4996,0.09966
5017,0.0996
5039,0.09954
5060,0.09947
5082,0.09939
5103,0.09931
5125,0.09922
5146,0.09913
5168,0.09904
5190,0.09894
5211,0.09883
5233,0.09872
5254,0.0986
5276,0.09848
5297,0.09835
5319,0.09822
5340,0.09809
5362,0.09795
5383,0.0978
5405,0.09765
5426,0.09749
5448,0.09733
5469,0.09717
5491,0.097
5512,0.09682
5534,0.09664
5556,0.09645
5577,0.09626
5599,0.09607
5620,0.09587
5642,0.09566
5663,0.09545
5685,0.09524
5706,0.09502
5728,0.09479
5749,0.09456
5771,0.09433
5792,0.09409
5814,0.09385
5835,0.0936
5857,0.09335
5879,0.09309
5900,0.09282
5922,0.09256
5943,0.09229
5965,0.09201
5986,0.09173
6008,0.09144
6029,0.09115
6051,0.09086
6072,0.09056
6094,0.09025
6115,0.08994
6137,0.08963
6158,0.08931
6180,0.08899
6202,0.08866
6223,0.08833
6245,0.08799
6266,0.08765
6288,0.08731
6309,0.08696
6331,0.0866
6352,0.08624
6374,0.08588
6395,0.08551
6417,0.08514
6438,0.08477
6460,0.08439
6481,0.084
6503,0.08361
6525,0.08322
6546,0.08282
6568,0.08242
6589,0.08202
6611,0.08161
6632,0.08119
6654,0.08078
6675,0.08035
6697,0.07993
6718,0.0795
6740,0.07906
6761,0.07863
6783,0.07818
6804,0.07774
6826,0.07729
6848,0.07683
6869,0.07638
6891,0.07591
6912,0.07545
6934,0.07498
6955,0.0745
6977,0.07403
6998,0.07355
7020,0.07306
7041,0.07257
7063,0.07208
7084,0.07159
7106,0.07109
7127,0.07058
7149,0.07008
7171,0.06957
7192,0.06905
7214,0.06854
7235,0.06802
7257,0.06749
7278,0.06697
7300,0.06644
7321,0.0659
7343,0.06536
7364,0.06482
7386,0.06428
7407,0.06373
7429,0.06318
7450,0.06263
7472,0.06207
7494,0.06151
7515,0.06095
7537,0.06038
7558,0.05981
7580,0.05924
7601,0.05866
7623,0.05808
7644,0.0575
7666,0.05692
7687,0.05633
7709,0.05574
7730,0.05515
7752,0.05455
7773,0.05396
7795,0.05335
7817,0.05275
7838,0.05214
7860,0.05153
7881,0.05092
7903,0.05031
7924,0.04969
7946,0.04907
7967,0.04845
7989,0.04783
8010,0.0472
8032,0.04657
8053,0.04594
8075,0.0453
8096,0.04467
8118,0.04403
8140,0.04339
8161,0.04275
8183,0.0421
8204,0.04145
8226,0.0408
8247,0.04015
8269,0.0395
8290,0.03884
8312,0.03819
8333,0.03753
8355,0.03687
8376,0.0362
8398,0.03554
8419,0.03487
8441,0.0342
8463,0.03353
8484,0.03286
8506,0.03219
8527,0.03151
8549,0.03083
8570,0.03016
8592,0.02948
8613,0.02879
8635,0.02811
8656,0.02743
8678,0.02674
8699,0.02605
8721,0.02537
8742,0.02468
8764,0.02398
8786,0.02329
8807,0.0226
8829,0.0219
8850,0.02121
8872,0.02051
8893,0.01981
8915,0.01912
8936,0.01842
8958,0.01772
8979,0.01701
9001,0.01631
9022,0.01561
9044,0.0149
9065,0.0142
9087,0.01349
9109,0.01279
9130,0.01208
9152,0.01137
9173,0.01067
9195,0.009957
9216,0.009248
9238,0.008538
9259,0.007828
9281,0.007118
9302,0.006407
9324,0.005696
9345,0.004985
9367,0.004273
9388,0.003561
9410,0.002849
9432,0.002137
9453,0.001425
9475,0.0007124
9496,5.765e-09
9518,-0.0007124
9539,-0.001425
9561,-0.002137
9582,-0.002849
9604,-0.003561
9625,-0.004273
9647,-0.004985
9668,-0.005696
9690,-0.006407
9711,-0.007118
9733,-0.007828
9755,-0.008538
9776,-0.009248
9798,-0.009957
9819,-0.01067
9841,-0.01137
9862,-0.01208
9884,-0.01279
9905,-0.01349
9927,-0.0142
9948,-0.0149
9970,-0.01561
9991,-0.01631
1.001e+04,-0.01701
1.003e+04,-0.01772
1.006e+04,-0.01842
1.008e+04,-0.01912
1.01e+04,-0.01981
1.012e+04,-0.02051
1.014e+04,-0.02121
1.016e+04,-0.0219
1.019e+04,-0.0226
1.021e+04,-0.02329
1.023e+04,-0.02398
1.025e+04,-0.02468
1.027e+04,-0.02537
1.029e+04,-0.02605
1.031e+04,-0.02674
1.034e+04,-0.02743
