frequency, value
0,0.1539
39.06,0.1539
78.12,0.1351
117.2,-0.1083
156.2,0.2471
195.3,0.2985
234.4,0.6684
273.4,0.6737
312.5,-0.2154
351.6,-0.07061
390.6,-0.3642
429.7,0.2332
468.8,-0.02865
507.8,0.05266
546.9,-0.1661
585.9,0.1675
625,-0.05319
664.1,0.1067
703.1,0.8339
742.2,0.02177
781.2,0.2723
820.3,0.1725
859.4,1.573
898.4,0.2124
937.5,-1.466
976.6,0.3315
1016,1.126
1055,-1.951
1094,-0.1407
1133,-0.2582
1172,0.06016
1211,-0.03501
1250,-0.02569
1289,-0.2127
1328,-0.298
1367,-0.1658
1406,-0.37
1445,-0.3582
1484,-1.857
1523,0.3102
1562,0.8365
1602,-0.3501
1641,-0.02125
1680,-0.416
1719,0.2167
1758,-0.00353
1797,0.1823
1836,-0.2306
1875,0.1767
1914,-0.07182
1953,-0.3365
1992,0.0134
2031,0.00145
2070,-0.1504
2109,-0.492
2148,-0.2899
2188,0.498
2227,0.07263
2266,-0.9023
2305,0.132
2344,-0.05065
2383,0.007717
2422,0.08623
2461,0.06879
