frequency, value
0,0
0.6729,0.00783
1.346,0.01562
2.019,0.02335
2.692,0.03096
3.365,0.03843
4.037,0.04573
4.71,0.05281
5.383,0.05965
6.056,0.06622
6.729,0.07248
7.402,0.07841
8.075,0.08399
8.748,0.08918
9.421,0.09396
10.09,0.09832
10.77,0.1022
11.44,0.1057
12.11,0.1087
12.79,0.1111
13.46,0.1131
14.13,0.1146
14.8,0.1156
15.48,0.1161
16.15,0.1161
16.82,0.1155
17.5,0.1145
18.17,0.113
18.84,0.111
19.51,0.1085
20.19,0.1056
20.86,0.1023
21.53,0.09851
22.21,0.09438
22.88,0.08989
23.55,0.08506
24.22,0.07992
24.9,0.0745
25.57,0.06884
26.24,0.06296
26.92,0.05691
27.59,0.0507
28.26,0.04438
28.94,0.03798
29.61,0.03155
30.28,0.0251
30.95,0.01869
31.63,0.01235
32.3,0.006105
32.97,5.417e-09
33.65,-0.005933
34.32,-0.01166
34.99,-0.01715
35.66,-0.02237
36.34,-0.0273
37.01,-0.03189
37.68,-0.03613
38.36,-0.04
39.03,-0.04346
39.7,-0.0465
40.37,-0.0491
41.05,-0.05124
41.72,-0.05292
42.39,-0.0541
43.07,-0.0548
43.74,-0.055
44.41,-0.05469
45.09,-0.05388
45.76,-0.05256
46.43,-0.05075
47.1,-0.04844
47.78,-0.04564
48.45,-0.04237
49.12,-0.03864
49.8,-0.03446
50.47,-0.02985
51.14,-0.02484
51.81,-0.01944
52.49,-0.01369
53.16,-0.007593
53.83,-0.001194
54.51,0.005482
55.18,0.0124
55.85,0.01954
56.52,0.02686
57.2,0.03432
57.87,0.0419
58.54,0.04955
59.22,0.05724
59.89,0.06493
60.56,0.0726
61.24,0.0802
61.91,0.08769
62.58,0.09504
63.25,0.1022
63.93,0.1092
64.6,0.1159
65.27,0.1224
65.95,0.1286
66.62,0.1344
67.29,0.1399
67.96,0.145
68.64,0.1497
69.31,0.1539
69.98,0.1577
70.66,0.1611
71.33,0.164
72,0.1664
72.67,0.1683
73.35,0.1697
74.02,0.1706
74.69,0.1709
75.37,0.1708
76.04,0.1702
76.71,0.169
77.38,0.1674
78.06,0.1653
78.73,0.1627
79.4,0.1596
80.08,0.1562
80.75,0.1523
81.42,0.148
82.1,0.1433
82.77,0.1383
83.44,0.133
84.11,0.1274
84.79,0.1216
85.46,0.1155
86.13,0.1092
86.81,0.1028
87.48,0.09624
88.15,0.0896
88.82,0.08291
89.5,0.07621
90.17,0.06953
90.84,0.0629
91.52,0.05637
92.19,0.04996
92.86,0.04372
93.53,0.03768
94.21,0.03186
94.88,0.0263
95.55,0.02104
96.23,0.01609
96.9,0.01149
97.57,0.007256
98.25,0.00342
98.92,8.647e-09
99.59,-0.002985
100.3,-0.005519
100.9,-0.007586
101.6,-0.009174
102.3,-0.01027
103,-0.01088
103.6,-0.01098
104.3,-0.01058
105,-0.009682
105.6,-0.008282
106.3,-0.006388
107,-0.004008
107.7,-0.001153
108.3,0.002163
109,0.005927
109.7,0.01012
110.4,0.01472
111,0.01971
111.7,0.02506
112.4,0.03075
113,0.03676
113.7,0.04304
114.4,0.04957
115.1,0.05632
115.7,0.06326
116.4,0.07034
117.1,0.07755
117.8,0.08484
118.4,0.09217
119.1,0.09951
119.8,0.1068
120.5,0.1141
121.1,0.1212
121.8,0.1283
122.5,0.1351
123.1,0.1418
123.8,0.1482
124.5,0.1543
125.2,0.1602
125.8,0.1657
126.5,0.1709
127.2,0.1757
127.9,0.1801
128.5,0.184
129.2,0.1876
129.9,0.1906
130.5,0.1932
131.2,0.1954
131.9,0.197
132.6,0.1981
133.2,0.1987
133.9,0.1988
134.6,0.1983
135.3,0.1974
135.9,0.196
136.6,0.194
137.3,0.1916
137.9,0.1887
138.6,0.1853
139.3,0.1816
140,0.1773
140.6,0.1727
141.3,0.1677
142,0.1624
142.7,0.1567
143.3,0.1508
144,0.1446
144.7,0.1381
145.3,0.1315
146,0.1246
146.7,0.1177
147.4,0.1107
148,0.1036
148.7,0.09644
149.4,0.08933
150.1,0.08227
150.7,0.07529
151.4,0.06844
152.1,0.06174
152.8,0.05523
153.4,0.04893
154.1,0.0429
154.8,0.03714
155.4,0.0317
156.1,0.0266
156.8,0.02187
157.5,0.01752
158.1,0.01359
158.8,0.01008
159.5,0.007025
160.2,0.004431
160.8,0.002314
161.5,0.0006821
162.2,-0.0004555
162.8,-0.001094
163.5,-0.00123
164.2,-0.000865
164.9,-5.005e-09
165.5,0.00136
