frequency, value
0,17.31
5.383,17.31
10.77,37
16.15,36.56
21.53,-0.1969
26.92,-0.1218
32.3,26.38
37.68,25.76
43.07,30.64
48.45,29.87
53.83,13.1
59.22,12.68
64.6,-6.54
69.98,-6.399
75.37,137.1
80.75,131.9
86.13,84.7
91.52,81.2
96.9,224.5
102.3,214.5
107.7,-263.6
113,-250.8
118.4,-181.4
123.8,-172
129.2,-102.4
134.6,-96.73
140,19.9
145.3,18.74
150.7,-36.16
156.1,-33.95
161.5,-62.33
166.9,-58.27
172.3,-36.38
177.6,-33.86
183,-7.914
188.4,-7.336
193.8,-35.11
199.2,-32.5
204.6,-30.77
209.9,-28.54
215.3,-12.11
220.7,-11.14
226.1,37.25
231.5,34.38
236.9,17.3
242.2,15.73
247.6,-133
253,-121.5
258.4,-38.17
263.8,-34.74
269.2,-49.38
274.5,-44.88
279.9,23.18
285.3,21.04
290.7,6.869
296.1,6.208
301.5,-3.064
306.8,-2.722
312.2,2.561
317.6,2.328
323,-6.769
328.4,-6.025
333.8,-15.17
339.1,-13.54
344.5,-11.38
349.9,-10.07
355.3,-12.92
360.7,-11.48
366.1,-18.64
371.4,-16.41
376.8,-29.62
382.2,-26.22
387.6,-17.83
393,-15.7
398.4,2.597
403.7,2.304
409.1,-9.993
414.5,-8.806
419.9,70.92
425.3,61.76
430.7,14.26
436,12.4
441.4,41.63
446.8,36.16
452.2,-58.72
457.6,-50.88
463,-47.08
468.3,-40.74
473.7,-26.45
479.1,-22.82
484.5,11.42
489.9,9.874
495.3,-11.24
500.6,-9.689
506,-22.29
511.4,-19.16
516.8,-11.45
522.2,-9.779
527.6,8.297
532.9,7.108
538.3,-21.98
543.7,-18.75
549.1,-16.57
554.5,-14.25
559.9,-4.749
565.2,-4.033
570.6,18.99
576,16.28
581.4,-24.14
586.8,-20.52
592.2,33.27
597.5,27.96
602.9,0.4493
608.3,0.3716
613.7,-28.22
619.1,-23.79
624.5,29.16
629.8,24.52
635.2,7.103
640.6,5.956
646,3.089
651.4,2.614
656.8,6.72
662.1,5.613
667.5,-1.705
672.9,-1.367
678.3,-4.667
683.7,-3.889
689.1,-4.145
694.4,-3.363
699.8,-9.833
705.2,-8.095
710.6,-4.971
716,-3.979
721.4,-12.94
726.7,-10.62
732.1,-11.66
737.5,-9.49
742.9,-5.326
748.3,-4.316
753.7,-4.753
759,-3.881
764.4,17.85
769.8,13.99
775.2,-8.851
780.6,-7.239
786,-18.27
791.3,-14.93
796.7,9.815
802.1,8.182
807.5,3.707
812.9,3.139
818.3,3.643
823.6,3.009
829,-9.774
834.4,-7.758
839.8,-12.28
845.2,-9.75
850.6,-10.75
855.9,-8.558
861.3,-3.941
866.7,-3.087
872.1,-6.33
877.5,-4.969
882.9,-6.225
888.2,-4.941
893.6,-19.19
899,-15.31
904.4,-3.767
909.8,-2.964
915.2,24.62
920.5,19.65
925.9,4.479
931.3,3.502
936.7,-71.11
942.1,-56.35
947.5,-19.15
952.8,-15.11
958.2,-26.67
963.6,-21.05
969,13.76
974.4,10.86
979.8,4.075
985.1,3.207
990.5,-0.5718
995.9,-0.4157
1001,3.03
1007,2.392
1012,-2.74
1017,-2.103
1023,-8.198
1028,-6.409
1034,-5.38
1039,-4.131
1044,-5.474
1050,-4.271
1055,-11.3
1061,-8.672
1066,-16.25
1071,-12.65
1077,-9.506
1082,-7.341
1087,0.3997
1093,0.3418
1098,-6.697
1104,-5.202
1109,49.22
1114,37.58
1120,9.954
1125,7.604
1130,29.48
1136,22.51
1141,-41.16
1147,-31.37
1152,-29.82
1157,-22.74
1163,-16.74
1168,-12.73
1174,3.808
1179,2.95
1184,-11.29
1190,-8.571
1195,-6.917
1200,-5.315
1206,-7.665
1211,-5.777
1217,-1.654
1222,-1.193
1227,-10.47
1233,-7.935
1238,-5.676
1244,-4.451
1249,-4.844
1254,-3.633
1260,-5.735
1265,-4.016
1270,-26.68
1276,-20.04
1281,90.31
1287,67.05
1292,16.46
1297,12.19
1303,-4.227
1308,-3.328
1314,17.31
1319,12.98
